date,close
02-01-2013,5993.25
03-01-2013,6009.5
04-01-2013,6016.149902
07-01-2013,5988.399902
08-01-2013,6001.700195
09-01-2013,5971.5
10-01-2013,5968.649902
11-01-2013,5951.299805
14-01-2013,6024.049805
15-01-2013,6056.600098
16-01-2013,6001.850098
17-01-2013,6039.200195
18-01-2013,6064.399902
21-01-2013,6082.299805
22-01-2013,6048.5
23-01-2013,6054.299805
24-01-2013,6019.350098
25-01-2013,6074.649902
28-01-2013,6074.799805
29-01-2013,6049.899902
30-01-2013,6055.75
31-01-2013,6034.75
01-02-2013,5998.899902
04-02-2013,5987.25
05-02-2013,5956.899902
06-02-2013,5959.200195
07-02-2013,5938.799805
08-02-2013,5903.5
11-02-2013,5897.850098
12-02-2013,5922.5
13-02-2013,5932.950195
14-02-2013,5896.950195
15-02-2013,5887.399902
18-02-2013,5898.200195
19-02-2013,5939.700195
20-02-2013,5943.049805
21-02-2013,5852.25
22-02-2013,5850.299805
25-02-2013,5854.75
26-02-2013,5761.350098
27-02-2013,5796.899902
28-02-2013,5693.049805
01-03-2013,5719.700195
04-03-2013,5698.5
05-03-2013,5784.25
06-03-2013,5818.600098
07-03-2013,5863.299805
08-03-2013,5945.700195
11-03-2013,5942.350098
12-03-2013,5914.100098
13-03-2013,5851.200195
14-03-2013,5908.950195
15-03-2013,5872.600098
18-03-2013,5835.25
19-03-2013,5745.950195
20-03-2013,5694.399902
21-03-2013,5658.75
22-03-2013,5651.350098
25-03-2013,5633.850098
26-03-2013,5641.600098
28-03-2013,5682.549805
01-04-2013,5704.399902
02-04-2013,5748.100098
03-04-2013,5672.899902
04-04-2013,5574.75
05-04-2013,5553.25
08-04-2013,5542.950195
09-04-2013,5495.100098
10-04-2013,5558.700195
11-04-2013,5594
12-04-2013,5528.549805
15-04-2013,5568.399902
16-04-2013,5688.950195
17-04-2013,5688.700195
18-04-2013,5783.100098
22-04-2013,5834.399902
23-04-2013,5836.899902
25-04-2013,5916.299805
26-04-2013,5871.450195
29-04-2013,5904.100098
30-04-2013,5930.200195
02-05-2013,5999.350098
03-05-2013,5944
06-05-2013,5971.049805
07-05-2013,6043.549805
08-05-2013,6069.299805
09-05-2013,6050.149902
10-05-2013,6094.75
13-05-2013,5980.450195
14-05-2013,5995.399902
15-05-2013,6146.75
16-05-2013,6169.899902
17-05-2013,6187.299805
20-05-2013,6156.899902
21-05-2013,6114.100098
22-05-2013,6094.5
23-05-2013,5967.049805
24-05-2013,5983.549805
27-05-2013,6083.149902
28-05-2013,6111.25
29-05-2013,6104.299805
30-05-2013,6124.049805
31-05-2013,5985.950195
03-06-2013,5939.299805
04-06-2013,5919.450195
05-06-2013,5923.850098
06-06-2013,5921.399902
07-06-2013,5881
10-06-2013,5878
11-06-2013,5788.799805
12-06-2013,5760.200195
13-06-2013,5699.100098
14-06-2013,5808.399902
17-06-2013,5850.049805
18-06-2013,5813.600098
19-06-2013,5822.25
20-06-2013,5655.899902
21-06-2013,5667.649902
24-06-2013,5590.25
25-06-2013,5609.100098
26-06-2013,5588.700195
27-06-2013,5682.350098
28-06-2013,5842.200195
01-07-2013,5898.850098
02-07-2013,5857.549805
03-07-2013,5770.899902
04-07-2013,5836.950195
05-07-2013,5867.899902
08-07-2013,5811.549805
09-07-2013,5859
10-07-2013,5816.700195
11-07-2013,5935.100098
12-07-2013,6009
15-07-2013,6030.799805
16-07-2013,5955.25
17-07-2013,5973.299805
18-07-2013,6038.049805
19-07-2013,6029.200195
22-07-2013,6031.799805
23-07-2013,6077.799805
24-07-2013,5990.5
25-07-2013,5907.5
26-07-2013,5886.200195
29-07-2013,5831.649902
30-07-2013,5755.049805
31-07-2013,5742
01-08-2013,5727.850098
02-08-2013,5677.899902
05-08-2013,5685.399902
06-08-2013,5542.25
07-08-2013,5519.100098
08-08-2013,5565.649902
12-08-2013,5612.399902
13-08-2013,5699.299805
14-08-2013,5742.299805
16-08-2013,5507.850098
19-08-2013,5414.75
20-08-2013,5401.450195
21-08-2013,5302.549805
22-08-2013,5408.450195
23-08-2013,5471.75
26-08-2013,5476.5
27-08-2013,5287.450195
28-08-2013,5285
29-08-2013,5409.049805
30-08-2013,5471.799805
02-09-2013,5550.75
03-09-2013,5341.450195
04-09-2013,5448.100098
05-09-2013,5592.950195
06-09-2013,5680.399902
10-09-2013,5896.75
11-09-2013,5913.149902
12-09-2013,5850.700195
13-09-2013,5850.600098
16-09-2013,5840.549805
17-09-2013,5850.200195
18-09-2013,5899.450195
19-09-2013,6115.549805
20-09-2013,6012.100098
23-09-2013,5889.75
24-09-2013,5892.450195
25-09-2013,5873.850098
26-09-2013,5882.25
27-09-2013,5833.200195
30-09-2013,5735.299805
01-10-2013,5780.049805
03-10-2013,5909.700195
04-10-2013,5907.299805
07-10-2013,5906.149902
08-10-2013,5928.399902
09-10-2013,6007.450195
10-10-2013,6020.950195
11-10-2013,6096.200195
14-10-2013,6112.700195
15-10-2013,6089.049805
17-10-2013,6045.850098
18-10-2013,6189.350098
21-10-2013,6204.950195
22-10-2013,6202.799805
23-10-2013,6178.350098
24-10-2013,6164.350098
25-10-2013,6144.899902
28-10-2013,6101.100098
29-10-2013,6220.899902
30-10-2013,6251.700195
31-10-2013,6299.149902
01-11-2013,6307.200195
05-11-2013,6253.149902
06-11-2013,6215.149902
07-11-2013,6187.25
08-11-2013,6140.75
11-11-2013,6078.799805
12-11-2013,6018.049805
13-11-2013,5989.600098
14-11-2013,6056.149902
18-11-2013,6189
19-11-2013,6203.350098
20-11-2013,6122.899902
21-11-2013,5999.049805
22-11-2013,5995.450195
25-11-2013,6115.350098
26-11-2013,6059.100098
27-11-2013,6057.100098
28-11-2013,6091.850098
29-11-2013,6176.100098
02-12-2013,6217.850098
03-12-2013,6201.850098
04-12-2013,6160.950195
05-12-2013,6241.100098
06-12-2013,6259.899902
09-12-2013,6363.899902
10-12-2013,6332.850098
11-12-2013,6307.899902
12-12-2013,6237.049805
13-12-2013,6168.399902
16-12-2013,6154.700195
17-12-2013,6139.049805
18-12-2013,6217.149902
19-12-2013,6166.649902
20-12-2013,6274.25
23-12-2013,6284.5
24-12-2013,6268.399902
26-12-2013,6278.899902
27-12-2013,6313.799805
30-12-2013,6291.100098
02-01-2014,6221.149902
03-01-2014,6211.149902
06-01-2014,6191.450195
07-01-2014,6162.25
08-01-2014,6174.600098
09-01-2014,6168.350098
10-01-2014,6171.450195
13-01-2014,6272.75
14-01-2014,6241.850098
15-01-2014,6320.899902
16-01-2014,6318.899902
17-01-2014,6261.649902
20-01-2014,6303.950195
21-01-2014,6313.799805
22-01-2014,6338.950195
23-01-2014,6345.649902
24-01-2014,6266.75
27-01-2014,6135.850098
28-01-2014,6126.25
29-01-2014,6120.25
30-01-2014,6073.700195
31-01-2014,6089.5
03-02-2014,6001.799805
04-02-2014,6000.899902
05-02-2014,6022.399902
06-02-2014,6036.299805
07-02-2014,6063.200195
10-02-2014,6053.450195
11-02-2014,6062.700195
12-02-2014,6084
13-02-2014,6001.100098
14-02-2014,6048.350098
17-02-2014,
18-02-2014,6127.100098
19-02-2014,6152.75
20-02-2014,6091.450195
21-02-2014,6155.450195
24-02-2014,6186.100098
25-02-2014,6200.049805
26-02-2014,6238.799805
28-02-2014,6276.950195
03-03-2014,6221.450195
04-03-2014,6297.950195
05-03-2014,6328.649902
06-03-2014,6401.149902
07-03-2014,6526.649902
10-03-2014,6537.25
11-03-2014,6511.899902
12-03-2014,6516.899902
13-03-2014,6493.100098
14-03-2014,6504.200195
18-03-2014,6516.649902
19-03-2014,6524.049805
20-03-2014,6483.100098
21-03-2014,6493.200195
22-03-2014,
24-03-2014,6583.5
25-03-2014,6589.75
26-03-2014,6601.399902
27-03-2014,6641.75
28-03-2014,6695.899902
31-03-2014,6704.200195
01-04-2014,6721.049805
02-04-2014,6752.549805
03-04-2014,6736.100098
04-04-2014,6694.350098
07-04-2014,6695.049805
09-04-2014,6796.200195
10-04-2014,6796.399902
11-04-2014,6776.299805
15-04-2014,6733.100098
16-04-2014,6675.299805
17-04-2014,6779.399902
21-04-2014,6817.649902
22-04-2014,6815.350098
23-04-2014,6840.799805
24-04-2014,
25-04-2014,6782.75
28-04-2014,6761.25
29-04-2014,6715.25
30-04-2014,6696.399902
02-05-2014,6694.799805
05-05-2014,6699.350098
06-05-2014,6715.299805
07-05-2014,6652.549805
08-05-2014,6659.850098
09-05-2014,6858.799805
12-05-2014,7014.25
13-05-2014,7108.75
14-05-2014,7108.75
15-05-2014,7123.149902
16-05-2014,7203
19-05-2014,7263.549805
20-05-2014,7275.5
21-05-2014,7252.899902
22-05-2014,7276.399902
23-05-2014,7367.100098
26-05-2014,7359.049805
27-05-2014,7318
28-05-2014,7329.649902
29-05-2014,7235.649902
30-05-2014,7229.950195
02-06-2014,7362.5
03-06-2014,7415.850098
04-06-2014,7402.25
05-06-2014,7474.100098
06-06-2014,7583.399902
09-06-2014,7654.600098
10-06-2014,7656.399902
11-06-2014,7626.850098
