daily_pnl,date,cum_daily_pnl
0,01-01-2013 05:30,0
25.74256165,02-01-2013 05:30,25.74256165
23.85091867,03-01-2013 05:30,23.85091867
14.19554907,04-01-2013 05:30,14.19554907
18.27607589,07-01-2013 05:30,18.27607589
14.97353423,08-01-2013 05:30,14.97353423
30.51970321,09-01-2013 05:30,30.51970321
35.73662521,10-01-2013 05:30,35.73662521
-1.248245701,11-01-2013 05:30,-1.248245701
15.9200024,14-01-2013 05:30,15.9200024
30.70626579,15-01-2013 05:30,30.70626579
6.744442886,16-01-2013 05:30,6.744442886
13.44040575,17-01-2013 05:30,13.44040575
0.204263876,18-01-2013 05:30,0.204263876
-3.824351086,21-01-2013 05:30,-3.824351086
2.398931435,22-01-2013 05:30,2.398931435
24.83448821,23-01-2013 05:30,24.83448821
-5.985959327,24-01-2013 05:30,-5.985959327
17.00517374,25-01-2013 05:30,17.00517374
40.13225293,28-01-2013 05:30,40.13225293
50.7524226,29-01-2013 05:30,50.7524226
34.84860622,30-01-2013 05:30,34.84860622
31.22750504,31-01-2013 05:30,31.22750504
19.22734208,01-02-2013 05:30,19.22734208
12.83093385,04-02-2013 05:30,12.83093385
-11.93471196,05-02-2013 05:30,-11.93471196
-4.682306269,06-02-2013 05:30,-4.682306269
-35.30555262,07-02-2013 05:30,-35.30555262
-49.34168475,08-02-2013 05:30,-49.34168475
-51.87553527,11-02-2013 05:30,-51.87553527
-64.34802684,12-02-2013 05:30,-64.34802684
-73.13622396,13-02-2013 05:30,-73.13622396
-94.1590922,14-02-2013 05:30,-94.1590922
-83.98683809,15-02-2013 05:30,-83.98683809
-81.80337991,18-02-2013 05:30,-81.80337991
-43.72989924,19-02-2013 05:30,-43.72989924
-40.53683406,20-02-2013 05:30,-40.53683406
-77.6578617,21-02-2013 05:30,-77.6578617
-67.58189225,22-02-2013 05:30,-67.58189225
-88.69136765,25-02-2013 05:30,-88.69136765
-125.4948453,26-02-2013 05:30,-125.4948453
-108.2468205,27-02-2013 05:30,-108.2468205
-118.8804135,28-02-2013 05:30,-118.8804135
-122.135361,01-03-2013 05:30,-122.135361
-149.6917463,04-03-2013 05:30,-149.6917463
-116.9820393,05-03-2013 05:30,-116.9820393
-111.1245077,06-03-2013 05:30,-111.1245077
-94.26965223,07-03-2013 05:30,-94.26965223
-67.92699786,08-03-2013 05:30,-67.92699786
-63.28811503,11-03-2013 05:30,-63.28811503
-78.50377455,12-03-2013 05:30,-78.50377455
-109.7855101,13-03-2013 05:30,-109.7855101
-90.62291641,14-03-2013 05:30,-90.62291641
-97.44212945,15-03-2013 05:30,-97.44212945
-101.2986053,18-03-2013 05:30,-101.2986053
-121.6968366,19-03-2013 05:30,-121.6968366
-164.4147534,20-03-2013 05:30,-164.4147534
-190.5257806,21-03-2013 05:30,-190.5257806
-218.6897415,22-03-2013 05:30,-218.6897415
-216.7961256,25-03-2013 05:30,-216.7961256
-248.0296839,26-03-2013 05:30,-248.0296839
-215.8122859,28-03-2013 05:30,-215.8122859
-192.0456229,01-04-2013 05:30,-192.0456229
-168.6406507,02-04-2013 05:30,-168.6406507
-150.8291896,03-04-2013 05:30,-150.8291896
-177.0050747,04-04-2013 05:30,-177.0050747
-187.4968184,05-04-2013 05:30,-187.4968184
-175.7277482,08-04-2013 05:30,-175.7277482
-197.0326006,09-04-2013 05:30,-197.0326006
-206.942706,10-04-2013 05:30,-206.942706
-198.8085361,11-04-2013 05:30,-198.8085361
-202.9325253,12-04-2013 05:30,-202.9325253
-191.825996,15-04-2013 05:30,-191.825996
-184.2966371,16-04-2013 05:30,-184.2966371
-156.9727804,17-04-2013 05:30,-156.9727804
-145.476764,18-04-2013 05:30,-145.476764
-114.3481932,22-04-2013 05:30,-114.3481932
-102.1794942,23-04-2013 05:30,-102.1794942
-90.12153353,25-04-2013 05:30,-90.12153353
-79.42378644,26-04-2013 05:30,-79.42378644
-40.61603014,29-04-2013 05:30,-40.61603014
-41.50600161,30-04-2013 05:30,-41.50600161
-16.09401168,02-05-2013 05:30,-16.09401168
-28.16558002,03-05-2013 05:30,-28.16558002
-4.429718641,06-05-2013 05:30,-4.429718641
16.28638571,07-05-2013 05:30,16.28638571
66.34492501,08-05-2013 05:30,66.34492501
58.64895539,09-05-2013 05:30,58.64895539
74.18090641,10-05-2013 05:30,74.18090641
87.62058511,11-05-2013 05:30,87.62058511
69.52637729,13-05-2013 05:30,69.52637729
66.77742481,14-05-2013 05:30,66.77742481
93.76670769,15-05-2013 05:30,93.76670769
94.763148,16-05-2013 05:30,94.763148
99.76496659,17-05-2013 05:30,99.76496659
97.26679841,20-05-2013 05:30,97.26679841
109.4119976,21-05-2013 05:30,109.4119976
110.2472975,22-05-2013 05:30,110.2472975
74.19925944,23-05-2013 05:30,74.19925944
85.83894604,24-05-2013 05:30,85.83894604
105.7658115,27-05-2013 05:30,105.7658115
123.1277494,28-05-2013 05:30,123.1277494
122.6846195,29-05-2013 05:30,122.6846195
135.0743164,30-05-2013 05:30,135.0743164
118.7877828,31-05-2013 05:30,118.7877828
134.6846238,03-06-2013 05:30,134.6846238
146.0274418,04-06-2013 05:30,146.0274418
157.083305,05-06-2013 05:30,157.083305
157.6519286,06-06-2013 05:30,157.6519286
156.9831368,07-06-2013 05:30,156.9831368
160.7630523,10-06-2013 05:30,160.7630523
117.6611541,11-06-2013 05:30,117.6611541
94.68784596,12-06-2013 05:30,94.68784596
51.19330215,13-06-2013 05:30,51.19330215
89.40933784,14-06-2013 05:30,89.40933784
121.201805,17-06-2013 05:30,121.201805
138.0751402,18-06-2013 05:30,138.0751402
141.1212532,19-06-2013 05:30,141.1212532
114.5763736,20-06-2013 05:30,114.5763736
110.5311526,21-06-2013 05:30,110.5311526
38.70598611,24-06-2013 05:30,38.70598611
43.77911608,25-06-2013 05:30,43.77911608
41.76109429,26-06-2013 05:30,41.76109429
54.04868331,27-06-2013 05:30,54.04868331
70.26159416,28-06-2013 05:30,70.26159416
0,01-07-2013 05:30,70.26159
8.087778534,02-07-2013 05:30,78.34936853
-3.189884034,03-07-2013 05:30,67.07170597
18.34061282,04-07-2013 05:30,88.60220282
16.09336821,05-07-2013 05:30,86.35495821
26.76706148,08-07-2013 05:30,97.02865148
38.6508123,09-07-2013 05:30,108.9124023
37.90016528,10-07-2013 05:30,108.1617553
44.36068897,11-07-2013 05:30,114.622279
66.3828226,12-07-2013 05:30,136.6444126
98.29421414,15-07-2013 05:30,168.5558041
87.54221129,16-07-2013 05:30,157.8038013
83.86112213,17-07-2013 05:30,154.1227121
114.6585918,18-07-2013 05:30,184.9201818
116.2372546,19-07-2013 05:30,186.4988446
120.1387231,22-07-2013 05:30,190.4003131
123.8456535,23-07-2013 05:30,194.1072435
90.74601566,24-07-2013 05:30,161.0076057
65.09904292,25-07-2013 05:30,135.3606329
31.71996897,26-07-2013 05:30,101.981559
1.207573765,29-07-2013 05:30,71.46916377
-28.54138085,30-07-2013 05:30,41.72020915
-49.07180636,31-07-2013 05:30,21.18978364
-52.64261976,01-08-2013 05:30,17.61897024
-73.30889209,02-08-2013 05:30,-3.04730209
-77.31198481,05-08-2013 05:30,-7.050394811
-126.4219093,06-08-2013 05:30,-56.16031929
-117.1152795,07-08-2013 05:30,-46.85368948
-84.50733447,08-08-2013 05:30,-14.24574447
-49.15615711,12-08-2013 05:30,21.10543289
-23.25944184,13-08-2013 05:30,47.00214816
-3.240834946,14-08-2013 05:30,67.02075505
-64.31462581,16-08-2013 05:30,5.946964189
-95.09254587,19-08-2013 05:30,-24.83095587
-118.6688669,20-08-2013 05:30,-48.40727692
-159.8372636,21-08-2013 05:30,-89.5756736
-157.7780423,22-08-2013 05:30,-87.51645226
-120.3188798,23-08-2013 05:30,-50.05728982
-83.76616907,26-08-2013 05:30,-13.50457907
-126.1820829,27-08-2013 05:30,-55.92049286
-168.6627488,28-08-2013 05:30,-98.4011588
-145.0749748,29-08-2013 05:30,-74.81338476
-126.5890088,30-08-2013 05:30,-56.32741879
-98.7672354,02-09-2013 05:30,-28.5056454
-133.7648793,03-09-2013 05:30,-63.50328933
-106.761277,04-09-2013 05:30,-36.49968696
-69.38791487,05-09-2013 05:30,0.873675129
-49.01073632,06-09-2013 05:30,21.25085368
4.56338872,10-09-2013 05:30,74.82497872
32.88849313,11-09-2013 05:30,103.1500831
32.12422601,12-09-2013 05:30,102.385816
43.31182424,13-09-2013 05:30,113.5734142
30.48729008,16-09-2013 05:30,100.7488801
34.22639334,17-09-2013 05:30,104.4879833
45.71877863,18-09-2013 05:30,115.9803686
72.41108708,19-09-2013 05:30,142.6726771
67.46800156,20-09-2013 05:30,137.7295916
65.9534648,23-09-2013 05:30,136.2150548
82.64260509,24-09-2013 05:30,152.9041951
83.77007469,25-09-2013 05:30,154.0316647
68.07548526,26-09-2013 05:30,138.3370753
63.9711587,27-09-2013 05:30,134.2327487
58.69828707,30-09-2013 05:30,128.9598771
95.07234162,01-10-2013 05:30,165.3339316
114.9140988,03-10-2013 05:30,185.1756888
143.1980068,04-10-2013 05:30,213.4595968
163.4705312,07-10-2013 05:30,233.7321212
171.1678259,08-10-2013 05:30,241.4294159
215.1375969,09-10-2013 05:30,285.3991869
218.464106,10-10-2013 05:30,288.725696
215.3881974,11-10-2013 05:30,285.6497874
224.5524427,14-10-2013 05:30,294.8140327
211.1596115,15-10-2013 05:30,281.4212015
206.0651497,17-10-2013 05:30,276.3267397
219.7400891,18-10-2013 05:30,290.0016791
255.5557896,21-10-2013 05:30,325.8173796
276.715612,22-10-2013 05:30,346.977202
276.5043028,23-10-2013 05:30,346.7658928
269.5768616,24-10-2013 05:30,339.8384516
251.9365886,25-10-2013 05:30,322.1981786
263.5292596,28-10-2013 05:30,333.7908496
292.9186625,29-10-2013 05:30,363.1802525
306.0680142,30-10-2013 05:30,376.3296042
361.7030842,31-10-2013 05:30,431.9646742
379.2854867,01-11-2013 05:30,449.5470767
422.9967255,03-11-2013 05:30,493.2583155
418.4357155,05-11-2013 05:30,488.6973055
434.6558422,06-11-2013 05:30,504.9174322
408.5691742,07-11-2013 05:30,478.8307642
414.3600981,08-11-2013 05:30,484.6216881
450.5875438,11-11-2013 05:30,520.8491338
441.969604,12-11-2013 05:30,512.231194
